,rel,head,tail,misc,misc2,score_grammar_1,score_no_grammar_1,score_grammar_2,score_no_grammar_2,score_grammar_3,score_no_grammar_3,score_grammar_4,score_no_grammar_4,score_grammar_5,score_no_grammar_5,score_grammar_6,score_no_grammar_6,score_grammar_7,score_no_grammar_7,score_grammar_8,score_no_grammar_8,score_grammar_9,score_no_grammar_9,score_grammar_10,score_no_grammar_10,top_100,rank_grammar_1,rank_no_grammar_1,rank_grammar_2,rank_no_grammar_2,rank_grammar_3,rank_no_grammar_3,rank_grammar_4,rank_no_grammar_4,rank_grammar_5,rank_no_grammar_5,rank_grammar_6,rank_no_grammar_6,rank_grammar_7,rank_no_grammar_7,rank_grammar_8,rank_no_grammar_8,rank_grammar_9,rank_no_grammar_9,rank_grammar_10,rank_no_grammar_10,Josh-Rating,Joe-Rating,Avg-Rating
104,HasSubevent,trade deadline,draft pick,7,0.00870876113129,7.681082725524902,6.798878669738773,-2.634150505065918,-11.500727653503414,-12.949383735656738,-29.800333976745602,-23.26461696624756,-48.09994029998779,-33.57985019683838,-66.39954662322998,-43.8950834274292,-84.69915294647217,-54.21031665802002,-102.99875926971436,-64.52554988861084,-121.29836559295654,-74.84078311920166,-139.59797191619873,-85.15601634979248,-157.89757823944092,True,39.0,106.0,231.0,1225.0,413.0,1957.0,563.0,2237.0,676.0,2369.0,749.0,2442.0,805.0,2480.0,854.0,2522.0,885.0,2543.0,921.0,2565.0,1.0,3.0,2.0
130,HasSubevent,trade name,peptidase-4 inhibitor,7,0.004511684965699999,2.3835268020629847,11.197269439697266,-27.1587200164795,-18.368698120117188,-56.70096683502199,-47.93466567993164,-86.24321365356447,-77.5006332397461,-115.78546047210696,-107.06660079956055,-145.32770729064944,-136.632568359375,-174.86995410919192,-166.19853591918945,-204.4122009277344,-195.7645034790039,-233.9544477462769,-225.33047103881836,-263.4966945648194,-254.8964385986328,True,823.0,8.0,2984.0,2597.0,2988.0,2966.0,2989.0,2985.0,2990.0,2987.0,2990.0,2988.0,2990.0,2989.0,2990.0,2989.0,2990.0,2989.0,2990.0,2989.0,,,
144,HasSubevent,feature film,production,35,0.00375323131062,7.5847907066345215,-0.10697507858276367,4.1745285987854,-17.3793363571167,0.7642664909362793,-34.651697635650635,-2.645995616912842,-51.92405891418457,-6.056257724761963,-69.1964201927185,-9.466519832611084,-86.46878147125244,-12.876781940460205,-103.74114274978638,-16.287044048309326,-121.01350402832031,-19.697306156158447,-138.28586530685425,-23.10756826400757,-155.55822658538818,True,44.0,2101.0,11.0,2461.0,9.0,2500.0,8.0,2508.0,8.0,2509.0,8.0,2510.0,8.0,2508.0,9.0,2508.0,9.0,2508.0,8.0,2511.0,,,
157,HasSubevent,marketing,market research,10,0.00269461866467,5.434052467346191,9.555440425872803,-5.524367809295654,2.079080104827881,-16.4827880859375,-5.397280216217041,-27.441208362579346,-12.873640537261963,-38.39962863922119,-20.350000858306885,-49.35804891586304,-27.826361179351807,-60.31646919250488,-35.30272150039673,-71.27488946914673,-42.77908182144165,-82.23330974578857,-50.25544214248657,-93.19173002243042,-57.731802463531494,True,172.0,19.0,505.0,9.0,778.0,13.0,938.0,17.0,1021.0,21.0,1084.0,23.0,1133.0,26.0,1169.0,28.0,1202.0,28.0,1222.0,29.0,,,
159,HasSubevent,teddy bear,toy,7,0.0026297494916,4.076267242431641,1.3575663566589355,0.0006985664367675781,-13.195478439331055,-4.0748701095581055,-27.748523235321045,-8.150438785552979,-42.301568031311035,-12.226007461547852,-56.854612827301025,-16.301576137542725,-71.40765762329102,-20.377144813537598,-85.960702419281,-24.45271348953247,-100.513747215271,-28.528282165527344,-115.06679201126099,-32.60385084152222,-129.61983680725098,True,367.0,1466.0,83.0,1620.0,48.0,1667.0,39.0,1688.0,35.0,1700.0,30.0,1707.0,29.0,1706.0,28.0,1709.0,27.0,1711.0,27.0,1716.0,,,
168,HasSubevent,railroad,rail service,10,0.00231081451424,7.46223783493042,3.558859348297119,0.5809202194213867,-10.8690185546875,-6.3003973960876465,-25.29689645767212,-13.18171501159668,-39.72477436065674,-20.063032627105713,-54.15265226364136,-26.944350242614746,-68.58053016662598,-33.82566785812378,-83.0084080696106,-40.70698547363281,-97.43628597259521,-47.588303089141846,-111.86416387557983,-54.46962070465088,-126.29204177856445,True,53.0,607.0,67.0,1073.0,94.0,1311.0,115.0,1410.0,129.0,1480.0,140.0,1506.0,150.0,1535.0,155.0,1548.0,163.0,1558.0,172.0,1570.0,,,
173,HasSubevent,operating system,server,37,0.00221776829921,7.4732489585876465,2.6117472648620605,-11.01697063446045,-11.759844303131104,-29.507190227508545,-26.131435871124268,-47.99740982055664,-40.50302743911743,-66.48762941360474,-54.874619007110596,-84.97784900665283,-69.24621057510376,-103.46806859970093,-83.61780214309692,-121.95828819274902,-97.98939371109009,-140.44850778579712,-112.36098527908325,-158.93872737884521,-126.73257684707642,True,51.0,943.0,1610.0,1280.0,2494.0,1421.0,2691.0,1499.0,2764.0,1537.0,2798.0,1556.0,2822.0,1567.0,2836.0,1573.0,2843.0,1580.0,2850.0,1591.0,0.0,2.0,1.0
175,HasSubevent,army,invasion force,10,0.00206629984667,6.252460479736328,4.156847000122072,2.4237408638000497,-9.574269771575924,-1.4049787521362287,-23.30538654327392,-5.233698368072508,-37.03650331497192,-9.062417984008786,-50.76762008666991,-12.891137599945065,-64.4987368583679,-16.719857215881344,-78.2298536300659,-20.548576831817623,-91.9609704017639,-24.3772964477539,-105.6920871734619,-28.20601606369018,-119.42320394515988,True,118.0,475.0,29.0,797.0,22.0,1021.0,19.0,1136.0,18.0,1197.0,18.0,1233.0,18.0,1260.0,18.0,1278.0,18.0,1298.0,17.0,1316.0,,,
179,HasSubevent,chemical,polymer chemistry,7,0.00184502475012,7.102614164352419,7.556366920471191,-3.166285037994381,-5.232536792755127,-13.43518424034118,-18.021440505981445,-23.70408344268798,-30.810344219207764,-33.97298264503478,-43.59924793243408,-44.24188184738158,-56.3881516456604,-54.51078104972838,-69.17705535888672,-64.77968025207518,-81.96595907211304,-75.04857945442198,-94.75486278533936,-85.31747865676878,-107.54376649856567,True,65.0,72.0,269.0,243.0,447.0,429.0,594.0,579.0,715.0,677.0,770.0,749.0,827.0,794.0,869.0,822.0,900.0,849.0,924.0,865.0,,,
187,HasSubevent,state route,highway,8,0.00159945148082,7.631843566894533,3.530241012573242,1.6152987480163592,-11.571905612945557,-4.401246070861815,-26.674052238464355,-10.417790889739988,-41.776198863983154,-16.434335708618164,-56.87834548950195,-22.450880527496338,-71.98049211502075,-28.46742534637451,-87.08263874053955,-34.483970165252686,-102.18478536605835,-40.50051498413086,-117.28693199157715,-46.51705980300903,-132.38907861709595,True,42.0,615.0,38.0,1234.0,53.0,1497.0,63.0,1633.0,70.0,1703.0,80.0,1734.0,85.0,1772.0,88.0,1793.0,88.0,1812.0,90.0,1825.0,,,
201,HasSubevent,hockey,box lacrosse,7,0.00105556861858,6.749779224395752,5.971322298049927,-3.694003105163574,-3.7170968055725098,-14.1377854347229,-13.405515909194946,-24.581567764282227,-23.093935012817383,-35.02535009384155,-32.78235411643982,-45.46913242340088,-42.470773220062256,-55.912914752960205,-52.15919232368469,-66.35669708251953,-61.84761142730713,-76.80047941207886,-71.53603053092957,-87.24426174163818,-81.224449634552,True,79.0,184.0,314.0,142.0,511.0,157.0,663.0,176.0,779.0,199.0,848.0,213.0,903.0,218.0,938.0,223.0,961.0,228.0,984.0,236.0,,,
238,HasSubevent,world premiere,opera,8,0.000237643731956,5.5769362449646,5.135019302368164,0.3041672706604004,-7.062471389770508,-4.968601703643799,-19.25996208190918,-10.241370677947998,-31.45745277404785,-15.514139652252197,-43.65494346618652,-20.786908626556396,-55.852434158325195,-26.059677600860596,-68.04992485046387,-31.332446575164795,-80.24741554260254,-36.605215549468994,-92.44490623474121,-41.87798452377319,-104.64239692687988,True,160.0,293.0,71.0,409.0,66.0,548.0,62.0,631.0,57.0,681.0,57.0,720.0,59.0,743.0,60.0,763.0,60.0,778.0,59.0,790.0,,,
244,HasSubevent,city,subway system,18,0.00020048590469,5.20242404937744,4.943405628204346,-0.6409063339233416,-9.228067398071289,-6.484236717224123,-23.399540424346924,-12.327567100524904,-37.57101345062256,-18.170897483825684,-51.74248647689819,-24.014227867126465,-65.91395950317383,-29.857558250427246,-80.08543252944946,-35.70088863372803,-94.2569055557251,-41.54421901702881,-108.42837858200073,-47.38754940032959,-122.59985160827637,True,208.0,317.0,111.0,738.0,100.0,1031.0,96.0,1188.0,96.0,1271.0,96.0,1335.0,98.0,1375.0,100.0,1397.0,100.0,1421.0,102.0,1434.0,,,
245,HasSubevent,business district,city,94,0.000191984044266,5.861137628555298,6.424221515655518,-0.28118371963500977,-4.596818447113037,-6.423505067825317,-15.617858409881592,-12.565826416015625,-26.638898372650146,-18.708147764205933,-37.6599383354187,-24.85046911239624,-48.680978298187256,-30.992790460586548,-59.70201826095581,-37.135111808776855,-70.72305822372437,-43.27743315696716,-81.74409818649292,-49.41975450515747,-92.76513814926147,True,133.0,139.0,99.0,197.0,96.0,267.0,100.0,333.0,105.0,373.0,106.0,401.0,107.0,421.0,109.0,433.0,110.0,448.0,111.0,461.0,,,
263,HasSubevent,neighbourhood,city centre,9,9.78854482294e-05,6.641163349151611,2.4980792999267596,-0.8232007026672363,-11.105841636657711,-8.287564754486084,-24.70976257324218,-15.751928806304932,-38.31368350982665,-23.21629285812378,-51.91760444641112,-30.680656909942627,-65.52152538299559,-38.145020961761475,-79.12544631958006,-45.60938501358032,-92.72936725616454,-53.07374906539917,-106.33328819274901,-60.53811311721802,-119.93720912933347,True,87.0,989.0,123.0,1131.0,161.0,1226.0,192.0,1252.0,212.0,1283.0,231.0,1300.0,240.0,1319.0,245.0,1328.0,249.0,1332.0,252.0,1336.0,,,
264,HasSubevent,producer,studio executive,7,9.41758047947e-05,6.984624862670898,5.625267505645752,1.5508990287780762,-7.650607109069824,-3.882826805114746,-20.9264817237854,-9.316552639007568,-34.20235633850098,-14.75027847290039,-47.47823095321655,-20.184004306793213,-60.75410556793213,-25.617730140686035,-74.0299801826477,-31.051455974578857,-87.30585479736328,-36.48518180847168,-100.58172941207886,-41.9189076423645,-113.85760402679443,True,72.0,233.0,39.0,492.0,45.0,725.0,52.0,849.0,54.0,936.0,55.0,979.0,56.0,1017.0,58.0,1047.0,59.0,1074.0,60.0,1091.0,0.0,1.0,0.5
290,HasSubevent,motorway,trunk road,14,1.00620093979e-05,9.43606972694397,4.741072654724121,3.9850363731384277,-9.858878135681152,-1.4659969806671143,-24.458828926086426,-6.917030334472656,-39.0587797164917,-12.368063688278198,-53.65873050689697,-17.81909704208374,-68.25868129730225,-23.270130395889282,-82.85863208770752,-28.721163749694824,-97.4585828781128,-34.172197103500366,-112.05853366851807,-39.62323045730591,-126.65848445892334,True,11.0,352.0,12.0,864.0,23.0,1196.0,31.0,1340.0,36.0,1432.0,43.0,1486.0,45.0,1525.0,49.0,1550.0,50.0,1567.0,51.0,1581.0,,,
301,AtLocation,white hole,black hole,9,0.980471093986,7.361355304718018,7.477943420410156,2.8686985969543457,-2.9102554321289062,-1.6239581108093262,-13.298454284667969,-6.116614818572998,-23.68665313720703,-10.60927152633667,-34.074851989746094,-15.101928234100342,-44.463050842285156,-19.594584941864014,-54.85124969482422,-24.087241649627686,-65.23944854736328,-28.579898357391357,-75.62764739990234,-33.07255506515503,-86.0158462524414,True,55.0,78.0,25.0,104.0,24.0,153.0,23.0,201.0,26.0,241.0,27.0,269.0,27.0,292.0,27.0,313.0,28.0,321.0,28.0,329.0,,,
303,AtLocation,7th century,9th century,21,0.926804406087,9.564050197601318,9.85094690322876,0.4266939163208008,-1.6849069595336914,-8.710662364959717,-13.220760822296143,-17.848018646240234,-24.756614685058594,-26.985374927520752,-36.292468547821045,-36.12273120880127,-47.828322410583496,-45.26008749008179,-59.36417627334595,-54.397443771362305,-70.9000301361084,-63.53480005264282,-82.43588399887085,-72.67215633392334,-93.9717378616333,True,10.0,16.0,69.0,59.0,177.0,151.0,262.0,247.0,323.0,321.0,368.0,372.0,407.0,408.0,448.0,440.0,477.0,464.0,497.0,487.0,,,
310,AtLocation,hockey association,national hockey,9,0.749859057719,7.299527168273926,7.467992782592773,-7.563465118408203,-7.901447296142578,-22.426457405090332,-23.27088737487793,-37.28944969177246,-38.64032745361328,-52.15244197845459,-54.00976753234863,-67.01543426513672,-69.37920761108398,-81.87842655181885,-84.74864768981934,-96.74141883850098,-100.11808776855469,-111.6044111251831,-115.48752784729004,-126.46740341186523,-130.8569679260254,True,57.0,79.0,861.0,529.0,1593.0,1018.0,1941.0,1292.0,2139.0,1470.0,2250.0,1566.0,2311.0,1632.0,2349.0,1690.0,2383.0,1728.0,2410.0,1760.0,1.0,1.0,1.0
322,AtLocation,bass clarinet,trombone,7,0.5223635355749999,6.272504806518555,8.465744018554688,-2.150172710418701,-2.0585317611694336,-10.572850227355957,-12.582807540893555,-18.995527744293213,-23.107083320617676,-27.41820526123047,-33.6313591003418,-35.840882778167725,-44.15563488006592,-44.26356029510498,-54.67991065979004,-52.686237812042236,-65.20418643951416,-61.10891532897949,-75.72846221923828,-69.53159284591675,-86.2527379989624,True,117.0,38.0,192.0,70.0,273.0,133.0,314.0,180.0,332.0,222.0,357.0,258.0,372.0,286.0,386.0,311.0,399.0,322.0,411.0,339.0,1.0,1.0,1.0
324,AtLocation,book,public domain,29,0.475342102798,2.119882106781006,2.5400776863098145,-3.3301587104797363,-7.6131062507629395,-8.780199527740479,-17.766290187835693,-14.23024034500122,-27.919474124908447,-19.680281162261963,-38.0726580619812,-25.130321979522705,-48.225841999053955,-30.580362796783447,-58.37902593612671,-36.03040361404419,-68.53220987319946,-41.48044443130493,-78.68539381027222,-46.930485248565674,-88.83857774734497,True,926.0,970.0,282.0,482.0,184.0,407.0,142.0,391.0,122.0,388.0,108.0,383.0,103.0,381.0,102.0,379.0,99.0,377.0,96.0,379.0,4.0,3.0,3.5
327,AtLocation,black hole,accretion disk,7,0.457346180875,4.990773439407349,7.350701808929443,-7.531559705734253,-13.363347053527832,-20.053892850875854,-34.07739591598511,-32.576225996017456,-54.79144477844238,-45.09855914115906,-75.50549364089966,-57.62089228630066,-96.21954250335693,-70.14322543144226,-116.93359136581421,-82.66555857658386,-137.64764022827148,-95.18789172172546,-158.36168909072876,-107.71022486686707,-179.07573795318604,True,234.0,83.0,854.0,1660.0,1241.0,2447.0,1447.0,2660.0,1564.0,2745.0,1642.0,2793.0,1691.0,2821.0,1729.0,2837.0,1768.0,2845.0,1798.0,2855.0,,,
357,AtLocation,lead guitarist,bassist,35,0.25037746227200003,4.3645124435424805,10.771228790283203,-5.477934837341309,1.921013355255127,-15.320382118225098,-6.929202079772949,-25.162829399108887,-15.779417514801025,-35.005276679992676,-24.6296329498291,-44.847723960876465,-33.47984838485718,-54.690171241760254,-42.330063819885254,-64.53261852264404,-51.18027925491333,-74.37506580352783,-60.030494689941406,-84.21751308441162,-68.88071012496948,True,316.0,12.0,496.0,12.0,642.0,23.0,736.0,33.0,776.0,41.0,807.0,60.0,839.0,67.0,856.0,80.0,868.0,87.0,876.0,89.0,,,
374,AtLocation,dual carriageway,single carriageway,13,0.181427906674,8.682802200317383,15.594078540802002,-0.21500873565673828,5.790706634521484,-9.11281967163086,-4.012665271759033,-18.01063060760498,-13.81603717803955,-26.9084415435791,-23.61940908432007,-35.80625247955322,-33.422780990600586,-44.704063415527344,-43.2261528968811,-53.601874351501465,-53.02952480316162,-62.499685287475586,-62.83289670944214,-71.3974962234497,-72.63626861572266,True,17.0,1.0,95.0,2.0,200.0,7.0,268.0,21.0,321.0,35.0,355.0,58.0,385.0,80.0,413.0,94.0,446.0,108.0,460.0,124.0,1.0,1.0,1.0
375,AtLocation,homomorphism,orthogonal group,7,0.179973555803,7.669486045837402,4.580319404602051,-1.3077583312988281,-10.996040344238281,-10.285002708435059,-26.572400093078613,-19.26224708557129,-42.148759841918945,-28.23949146270752,-57.72511959075928,-37.21673583984375,-73.30147933959961,-46.19398021697998,-88.87783908843994,-55.17122459411621,-104.45419883728027,-64.14846897125244,-120.0305585861206,-73.12571334838867,-135.60691833496094,True,41.0,383.0,153.0,1106.0,252.0,1484.0,325.0,1672.0,371.0,1773.0,403.0,1828.0,452.0,1870.0,472.0,1896.0,495.0,1916.0,513.0,1941.0,4.0,3.0,3.5
458,AtLocation,work,law enforcement,10,0.0466831789842,-0.7244350910186768,3.264242172241212,-11.290884733200073,-1.8287477493286115,-21.85733437538147,-6.921737670898434,-32.423784017562866,-12.014727592468258,-42.99023365974426,-17.107717514038082,-53.55668330192566,-22.200707435607903,-64.12313294410706,-27.293697357177727,-74.68958258628845,-32.38668727874755,-85.25603222846985,-37.479677200317376,-95.82248187065125,-42.5726671218872,True,2316.0,697.0,1688.0,64.0,1502.0,22.0,1430.0,13.0,1398.0,11.0,1367.0,10.0,1351.0,9.0,1334.0,8.0,1325.0,8.0,1312.0,8.0,,,
472,AtLocation,mitosis,cell division,20,0.038002919773,7.333512783050537,6.182401657104492,-1.575301170349121,-5.378053188323975,-10.48411512374878,-16.93850803375244,-19.392929077148438,-28.498962879180908,-28.301743030548096,-40.059417724609375,-37.210556983947754,-51.61987257003784,-46.11937093734741,-63.18032741546631,-55.02818489074707,-74.74078226089478,-63.93699884414673,-86.30123710632324,-72.84581279754639,-97.86169195175171,True,56.0,159.0,164.0,252.0,261.0,352.0,332.0,421.0,375.0,473.0,402.0,517.0,447.0,542.0,467.0,553.0,489.0,565.0,502.0,584.0,4.0,4.0,4.0
478,AtLocation,word order,language,10,0.0327718416895,6.648193836212158,5.37256693840027,0.08486413955688477,-3.861944675445555,-6.478465557098389,-13.09645628929138,-13.041795253753662,-22.330967903137207,-19.605124950408936,-31.565479516983032,-26.16845464706421,-40.79999113082886,-32.73178434371948,-50.03450274467468,-39.295114040374756,-59.26901435852051,-45.85844373703003,-68.50352597236633,-52.4217734336853,-77.73803758621216,True,85.0,263.0,79.0,152.0,99.0,148.0,111.0,153.0,119.0,162.0,127.0,169.0,133.0,179.0,138.0,181.0,140.0,185.0,144.0,188.0,4.0,4.0,4.0
500,AtLocation,medal,asiatic-pacific campaign,8,0.0230156585795,3.7272183895111084,7.725312232971191,-8.986449718475342,-5.657811641693115,-21.700117826461792,-19.040935516357422,-34.41378593444824,-32.42405939102173,-47.12745404243469,-45.807183265686035,-59.84112215042114,-59.19030714035034,-72.55479025840759,-72.57343101501465,-85.26845836639404,-85.95655488967896,-97.9821264743805,-99.33967876434326,-110.69579458236694,-112.72280263900757,True,440.0,66.0,1137.0,270.0,1485.0,521.0,1646.0,710.0,1740.0,813.0,1792.0,890.0,1841.0,952.0,1868.0,987.0,1896.0,1021.0,1912.0,1046.0,,,
505,AtLocation,album,by artist,10,0.021063005621,3.4660072326660156,7.111281871795654,-7.317962169647217,-4.968563079833984,-18.10193157196045,-17.048408031463623,-28.88590097427368,-29.12825298309326,-39.669870376586914,-41.2080979347229,-50.45383977890015,-53.28794288635254,-61.23780918121338,-65.36778783798218,-72.02177858352661,-77.44763278961182,-82.80574798583984,-89.52747774124146,-93.58971738815308,-101.6073226928711,True,498.0,95.0,800.0,221.0,990.0,362.0,1073.0,463.0,1128.0,545.0,1172.0,590.0,1190.0,624.0,1211.0,648.0,1222.0,674.0,1241.0,690.0,,,
538,AtLocation,reactive power,load,7,0.0106218083915,7.80580997467041,5.193416118621826,-0.9865317344665527,-7.468572616577148,-9.778873443603516,-20.130561351776123,-18.57121515274048,-32.7925500869751,-27.36355686187744,-45.45453882217407,-36.155898571014404,-58.11652755737305,-44.94824028015137,-70.77851629257202,-53.74058198928833,-83.440505027771,-62.53292369842529,-96.10249376296997,-71.32526540756226,-108.76448249816895,True,35.0,283.0,128.0,464.0,226.0,648.0,291.0,738.0,330.0,796.0,370.0,832.0,393.0,854.0,420.0,873.0,448.0,891.0,456.0,906.0,3.0,0.0,1.5
557,AtLocation,medal,relay team,8,0.00644960854689,0.3577852249145508,7.14054536819458,-10.594522953033447,-4.394460201263428,-21.546831130981445,-15.929465770721436,-32.49913930892944,-27.464471340179443,-43.45144748687744,-38.99947690963745,-54.40375566482544,-50.53448247909546,-65.35606384277344,-62.06948804855347,-76.30837202072144,-73.60449361801147,-87.26068019866943,-85.13949918746948,-98.21298837661743,-96.67450475692749,True,1779.0,94.0,1506.0,187.0,1456.0,288.0,1435.0,374.0,1433.0,426.0,1424.0,464.0,1420.0,498.0,1411.0,525.0,1408.0,537.0,1407.0,550.0,,,
