Disagree,Both less than 3,Both greater than 3,,rel,head,tail,Josh-Rating,Joe-Rating,Avg-Rating,sent_LM,sent_concat,misc,misc2,temp,score_LM_1,score_concat_1,score_LM_2,score_concat_2,score_LM_3,score_concat_3,score_LM_4,score_concat_4,score_LM_5,score_concat_5,score_LM_6,score_concat_6,score_LM_7,score_concat_7,score_LM_8,score_concat_8,score_LM_9,score_concat_9,score_LM_10,score_concat_10,score_LM_cluster,score_concat_cluster,top_100,rank_LM_1,rank_concat_1,rank_LM_2,rank_concat_2,rank_LM_3,rank_concat_3,rank_LM_4,rank_concat_4,rank_LM_5,rank_concat_5,rank_LM_6,rank_concat_6,rank_LM_7,rank_concat_7,rank_LM_8,rank_concat_8,rank_LM_9,rank_concat_9,rank_LM_10,rank_concat_10,rank_LM_cluster,rank_concat_cluster,score_LM_ensemble,score_concat_ensemble,rank_LM_ensemble,rank_concat_ensemble
0,,,2928,Causes,agriculture,land use,4,4,4,[CLS] agriculture causes land use . [SEP],[CLS] agriculture causes land use . [SEP],7,0.000636621,-45.70992794,4.094146729,4.094146729,-1.470554352,-1.470554352,-7.035255432,-7.035255432,-12.59995651,-12.59995651,-18.16465759,-18.16465759,-23.72935867,-23.72935867,-29.29405975,-29.29405975,-34.85876083,-34.85876083,-40.42346191,-40.42346191,-45.98816299,-45.98816299,-0.079379082,0.198855972,TRUE,385,529,128,63,102,17,87,13,84,12,82,11,82,11,80,11,79,11,78,11,92,105,-118.7,-68.9,90,41
0,,,1654,HasA,the town,landmark,4,4,4,[CLS] the town has a landmark . [SEP],[CLS] the town has a landmark . [SEP],47,0.097293393,-46.58500415,-0.226606846,-0.226606846,-5.406316042,-5.406316042,-10.58602524,-10.58602524,-15.76573443,-15.76573443,-20.94544363,-20.94544363,-26.12515283,-26.12515283,-31.30486202,-31.30486202,-36.48457122,-36.48457122,-41.66428041,-41.66428041,-46.84398961,-46.84398961,-4.111388743,-3.852403283,TRUE,2178,2400,507,313,240,95,176,40,133,22,116,16,103,12,98,12,94,12,90,12,491,547,-373.5,-293.4,331,227
0,,,2474,HasProperty,the station,close,4,4,4,[CLS] the station is close . [SEP],[CLS] the station has property close . [SEP],19,0.301543083,-48.30739841,-0.545095682,1.107172489,-8.200202703,-4.414008617,-15.85530972,-9.935189724,-23.51041675,-15.45637083,-31.16552377,-20.97755194,-38.82063079,-26.49873304,-46.47573781,-32.01991415,-54.13084483,-37.54109526,-61.78595185,-43.06227636,-69.44105887,-48.58345747,-3.033713341,-2.757654285,TRUE,2317,1790,1014,221,719,77,616,32,555,23,500,18,475,13,453,13,438,13,429,13,329,362,-751.6,-221.3,707,168
0,,,1925,HasPrerequisite,music video,soundtrack,4,4,4,[CLS] a music video requires a soundtrack . [SEP],[CLS] music video has pre ##re ##quisite soundtrack . [SEP],15,0.009781365,-52.3165846,5.324592829,8.88118577,1.066998482,2.043446064,-3.190595865,-4.794293642,-7.448190212,-11.63203335,-11.70578456,-18.46977305,-15.96337891,-25.30751276,-20.22097325,-32.14525247,-24.4785676,-38.98299217,-28.73616195,-45.82073188,-32.99375629,-52.65847158,3.752880991,4.094767976,TRUE,183,28,48,8,30,9,29,11,26,14,26,12,24,14,24,15,25,16,25,18,9,9,-44,-14.5,31,4.5
1,0,0,1375,IsA,database,query language,2,3,2.5,[CLS] database is a query language . [SEP],[CLS] database is a query language . [SEP],8,0.186784694,-51.69606858,7.081100702,7.081100702,0.513819218,0.513819218,-6.053462267,-6.053462267,-12.62074375,-12.62074375,-19.18802524,-19.18802524,-25.75530672,-25.75530672,-32.32258821,-32.32258821,-38.88986969,-38.88986969,-45.45715117,-45.45715117,-52.02443266,-52.02443266,2.155639589,2.484003663,TRUE,47,94,53,17,74,13,88,14,100,15,109,15,115,15,121,14,126,15,130,15,26,27,-96.3,-22.7,69,8
0,,,1504,HasA,the city,industrial center,4,4,4,[CLS] the city has an industrial center . [SEP],[CLS] the city has a industrial center . [SEP],26,0.922242741,-51.35844407,4.260300159,5.219918251,-0.479337215,-1.101686478,-5.21897459,-7.423291206,-9.958611965,-13.74489594,-14.69824934,-20.06650066,-19.43788671,-26.38810539,-24.17752409,-32.70971012,-28.91716146,-39.03131485,-33.65679884,-45.35291958,-38.39643621,-51.67452431,0.478714705,0.794794941,TRUE,352,281,89,53,58,20,51,19,45,16,44,17,42,16,40,16,40,14,40,14,66,68,-80.1,-46.6,57,20
1,0,0,2787,Causes,majority party,majority coalition,1,4,2.5,[CLS] the majority party causes a majority coalition . [SEP],[CLS] majority party causes majority coalition . [SEP],7,0.021572897,-54.65043913,8.061795712,11.15629411,-0.400722504,3.803586483,-8.863240719,-3.549121141,-17.32575893,-10.90182877,-25.78827715,-18.25453639,-34.25079536,-25.60724401,-42.71331358,-32.95995164,-51.17583179,-40.31265926,-59.63835001,-47.66536689,-68.10086823,-55.01807451,5.641763389,6.00939877,TRUE,26,5,86,4,164,7,228,9,275,13,309,14,343,17,363,20,378,27,393,29,4,3,-256.5,-14.5,214.5,4.5
1,1,0,2911,Causes,playoff,wild card,2,0,1,[CLS] the playoff causes the wild card . [SEP],[CLS] playoff causes wild card . [SEP],12,0.001021263,-55.9494545,6.986087799,13.30927229,-0.491141319,5.570867062,-7.968370438,-2.167538166,-15.44559956,-9.905943394,-22.92282867,-17.64434862,-30.40005779,-25.38275385,-37.87728691,-33.12115908,-45.35451603,-40.8595643,-52.83174515,-48.59796953,-60.30897427,-56.33637476,7.505468369,7.89238863,TRUE,51,2,90,2,122,4,164,7,189,10,207,13,218,18,227,22,237,32,245,38,1,1,-175,-14.8,138,6
1,0,0,2790,Causes,neutron emission,fission,4,1,2.5,[CLS] the neutron emission causes fission . [SEP],[CLS] neutron emission causes fission . [SEP],7,0.020641387,-52.0734288,4.654034615,4.634530544,-1.821820736,-1.701554298,-8.297676086,-8.037639141,-14.77353144,-14.37372398,-21.24938679,-20.70980883,-27.72524214,-27.04589367,-34.20109749,-33.38197851,-40.67695284,-39.71806335,-47.15280819,-46.0541482,-53.62866354,-52.39023304,-0.117533088,0.199271154,TRUE,279,403,150,73,137,28,139,22,148,19,145,19,146,19,147,17,148,17,150,16,96,104,-158.9,-63.3,124,32
0,,,1217,IsA,government,two-party system,3,3,3,[CLS] government is a two - party system . [SEP],[CLS] government is a two - party system . [SEP],8,0.862882342,-52.51124897,4.589043617,4.589043617,-1.790877342,-1.790877342,-8.170798302,-8.170798302,-14.55071926,-14.55071926,-20.93064022,-20.93064022,-27.31056118,-27.31056118,-33.69048214,-33.69048214,-40.0704031,-40.0704031,-46.45032406,-46.45032406,-52.83024502,-52.83024502,-0.195897102,0.123098946,TRUE,291,413,148,76,132,33,127,23,132,21,137,21,135,20,135,18,137,18,141,20,102,111,-151.5,-66.3,115,36
1,0,0,1569,HasA,the target,velocity,3,1,2,[CLS] the target has a velocity . [SEP],[CLS] the target has a velocity . [SEP],7,0.300126075,-52.47838219,4.118205309,4.118205309,-2.205435753,-2.205435753,-8.529076815,-8.529076815,-14.85271788,-14.85271788,-21.17635894,-21.17635894,-27.5,-27.5,-33.82364106,-33.82364106,-40.14728212,-40.14728212,-46.47092319,-46.47092319,-52.79456425,-52.79456425,-0.624525487,-0.308343434,TRUE,378,523,170,87,146,37,142,26,144,24,138,22,137,21,137,19,138,19,139,19,129,137,-166.9,-79.7,129,50
0,,,1501,HasA,electric bass,double bass,1,1,1,[CLS] the electric bass has a double bass . [SEP],[CLS] electric bass has a double bass . [SEP],15,0.978933647,-54.1321481,6.666214466,6.758465767,0.151688576,-0.044954777,-6.362837315,-6.84837532,-12.8773632,-13.65179586,-19.3918891,-20.45521641,-25.90641499,-27.25863695,-32.42094088,-34.0620575,-38.93546677,-40.86547804,-45.44999266,-47.66889858,-51.96451855,-54.47231913,1.655900359,1.996071386,TRUE,69,113,69,23,83,16,96,18,103,18,111,20,117,22,122,23,125,28,128,27,31,32,-102.3,-30.8,74,11
0,,,2116,CapableOf,gas,high pressure,4,4,4,[CLS] the gas can be high pressure . [SEP],[CLS] gas capable of high pressure . [SEP],27,0.639979616,-53.84643525,4.978340387,5.087721109,-1.549741268,-1.49710083,-8.077822924,-8.08192277,-14.60590458,-14.66674471,-21.13398623,-21.25156665,-27.66206789,-27.83638859,-34.19014955,-34.42121053,-40.7182312,-41.00603247,-47.24631286,-47.59085441,-53.77439451,-54.17567635,0.149104655,0.478345752,TRUE,231,305,133,64,127,30,132,24,142,25,144,25,145,23,149,25,151,26,152,26,78,85,-150.6,-57.3,114,25
0,,,1246,IsA,newspaper,news website,4,4,4,[CLS] newspaper is a news website . [SEP],[CLS] newspaper is a news website . [SEP],8,0.644861651,-53.83583161,5.027434111,5.027434111,-1.549467087,-1.549467087,-8.126368284,-8.126368284,-14.70326948,-14.70326948,-21.28017068,-21.28017068,-27.85707188,-27.85707188,-34.43397307,-34.43397307,-41.01087427,-41.01087427,-47.58777547,-47.58777547,-54.16467667,-54.16467667,0.094758213,0.423603272,TRUE,222,315,132,67,131,32,137,25,149,27,150,26,149,24,151,26,155,25,159,25,84,87,-153.5,-59.2,117,28
0,,,2535,HasProperty,the fort,nearby,3,3,3,[CLS] the fort is nearby . [SEP],[CLS] the fort has property nearby . [SEP],19,0.126623338,-53.21093732,2.361243486,3.223695517,-3.142983913,-3.081850052,-8.647211313,-9.38739562,-14.15143871,-15.69294119,-19.65566611,-21.99848676,-25.15989351,-28.30403233,-30.66412091,-34.60957789,-36.16834831,-40.91512346,-41.67257571,-47.22066903,-47.17680311,-53.5262146,-1.50546366,-1.190186381,TRUE,899,787,243,136,150,63,122,37,107,31,102,28,99,25,95,24,95,22,92,22,186,195,-200.4,-117.5,164,82
1,0,0,677,UsedFor,music video,cameo,3,1,2,[CLS] the music video is for a cameo . [SEP],[CLS] music video used for cameo . [SEP],10,0.120353833,-54.89573934,2.669795513,6.523820877,-3.26626873,-0.338699818,-9.202332973,-7.201220512,-15.13839722,-14.06374121,-21.07446146,-20.9262619,-27.0105257,-27.7887826,-32.94658995,-34.65130329,-38.88265419,-41.51382399,-44.81871843,-48.37634468,-50.75478268,-55.23886538,1.376930356,1.720056391,TRUE,774,133,255,31,179,18,156,20,140,20,130,24,123,26,119,30,117,30,116,31,43,44,-210.9,-36.3,173,13
1,0,1,1521,HasA,the site,gate,4,3,3.5,[CLS] the site has a gate . [SEP],[CLS] the site has a gate . [SEP],20,0.65277,-52.13566519,0.672973871,0.672973871,-5.227432728,-5.227432728,-11.12783933,-11.12783933,-17.02824593,-17.02824593,-22.92865252,-22.92865252,-28.82905912,-28.82905912,-34.72946572,-34.72946572,-40.62987232,-40.62987232,-46.53027892,-46.53027892,-52.43068552,-52.43068552,-3.752331078,-3.457310748,TRUE,1693,2005,481,298,275,111,212,58,190,39,172,33,156,27,145,21,140,20,133,17,431,474,-359.7,-262.9,313,199
0,,,1609,HasA,the state,convention,3,3,3,[CLS] the state has a convention . [SEP],[CLS] the state has a convention . [SEP],66,0.165802874,-53.54278809,3.413740873,3.413740873,-2.950117111,-2.950117111,-9.313975096,-9.313975096,-15.67783308,-15.67783308,-22.04169106,-22.04169106,-28.40554905,-28.40554905,-34.76940703,-34.76940703,-41.13326502,-41.13326502,-47.497123,-47.497123,-53.86098099,-53.86098099,-1.359152615,-1.040959716,TRUE,541,715,226,128,183,61,172,36,163,33,157,30,157,28,155,28,154,23,153,23,175,189,-206.1,-110.5,166,78
1,0,1,2766,Causes,political power,war,3,4,3.5,[CLS] the effect of political power is war . [SEP],[CLS] political power causes war . [SEP],8,0.035023721,-53.60381002,3.297134876,3.532493353,-5.479724407,-2.851451159,-14.25658369,-9.23539567,-23.03344297,-15.61934018,-31.81030226,-22.00328469,-40.58716154,-28.3872292,-49.36402082,-34.77117372,-58.14088011,-41.15511823,-66.91773939,-47.53906274,-75.69459867,-53.92300725,-1.255465031,-0.936267805,TRUE,576,677,520,122,536,59,574,35,605,32,609,29,615,29,622,29,630,24,636,24,169,178,-592.3,-106,541,69
0,,,2444,HasProperty,visible light,radiation,4,4,4,[CLS] the visible light is radiation . [SEP],[CLS] visible light has property radiation . [SEP],51,0.409857266,-56.8506776,6.272907734,9.240411997,-2.965428829,1.855932713,-12.20376539,-5.528546572,-21.44210196,-12.91302586,-30.68043852,-20.29750514,-39.91877508,-27.68198442,-49.15711164,-35.06646371,-58.39544821,-42.45094299,-67.63378477,-49.83542228,-76.87212133,-57.21990156,3.702052534,4.071276498,TRUE,98,22,227,9,360,12,447,16,510,17,574,23,600,30,637,34,660,39,679,41,10,10,-479.2,-24.3,430,10
1,0,0,2314,CapableOf,engine,second stage,3,2,2.5,[CLS] the engine can be second stage . [SEP],[CLS] engine capable of second stage . [SEP],7,0.023116266,-55.44294345,1.695865393,6.343450546,-8.063476086,-0.560057163,-17.82281756,-7.463564873,-27.58215904,-14.36707258,-37.34150052,-21.27058029,-47.100842,-28.174088,-56.86018348,-35.07759571,-66.61952496,-41.98110342,-76.37886643,-48.88461113,-86.13820791,-55.78811884,1.165819764,1.51099515,TRUE,1178,154,984,38,969,21,965,21,981,26,975,27,975,31,969,33,974,33,972,34,50,52,-994.2,-41.8,953,15
1,0,0,811,UsedFor,site,state park,3,2,2.5,[CLS] the site can be used for state park . [SEP],[CLS] site used for state park . [SEP],14,0.011810028,-54.59043118,3.053282738,4.421862364,-4.505820751,-2.171689987,-12.06492424,-8.765242338,-19.62402773,-15.35879469,-27.18313122,-21.95234704,-34.74223471,-28.54589939,-42.3013382,-35.13945174,-49.86044168,-41.73300409,-57.41954517,-48.32655644,-64.97864866,-54.9201088,-0.523301899,-0.193624282,TRUE,659,447,377,85,353,47,332,29,330,30,331,32,326,32,327,31,329,29,329,28,121,129,-369.3,-79,327,49
0,,,628,UsedFor,gasoline,fuel economy,4,4,4,[CLS] gasoline can be used for fuel economy . [SEP],[CLS] gasoline used for fuel economy . [SEP],9,0.349424148,-54.85159348,5.620985031,4.787619829,0.649709702,-1.875979424,-4.321565628,-8.539578676,-9.292840958,-15.20317793,-14.26411629,-21.86677718,-19.23539162,-28.53037643,-24.20666695,-35.19397569,-29.17794228,-41.85757494,-34.14921761,-48.52117419,-39.12049294,-55.18477345,-0.21007961,0.123100352,TRUE,157,354,52,81,41,38,43,28,41,29,40,31,43,33,44,32,42,31,42,30,103,110,-54.5,-68.7,36.5,39
1,0,0,1629,HasA,the post,name,4,2,3,[CLS] the post has the name . [SEP],[CLS] the post has a name . [SEP],178,0.131555177,-52.58000556,0.503497601,0.043176651,-5.476473331,-5.836508512,-11.45644426,-11.71619368,-17.4364152,-17.59587884,-23.41638613,-23.475564,-29.39635706,-29.35524917,-35.37632799,-35.23493433,-41.35629892,-41.11461949,-47.33626986,-46.99430466,-53.31624079,-52.87398982,-4.366587222,-4.072602963,TRUE,1790,2290,519,367,305,134,233,72,202,46,185,36,174,34,159,27,152,21,146,21,544,587,-386.5,-304.8,341,240
0,,,2776,Causes,brain,spinal cord,2,2,2,[CLS] the brain causes the spinal cord . [SEP],[CLS] brain causes spinal cord . [SEP],152,0.026267968,-55.88847569,3.216694593,4.268272161,-2.838639736,-2.45315218,-8.893974066,-9.174576521,-14.9493084,-15.89600086,-21.00464272,-22.6174252,-27.05997705,-29.33884954,-33.11531138,-36.06027389,-39.17064571,-42.78169823,-45.22598004,-49.50312257,-51.28131437,-56.22454691,-0.772796094,-0.436724877,TRUE,598,484,215,102,165,58,149,43,134,36,131,35,127,35,124,35,122,35,120,35,139,147,-188.5,-89.8,148,58
0,,,627,UsedFor,heat,thermal energy,4,4,4,[CLS] the heat is used for thermal energy . [SEP],[CLS] heat used for thermal energy . [SEP],58,0.354846272,-55.95009727,4.207717419,4.369179249,-0.982949257,-2.37040472,-6.173615932,-9.109988689,-11.36428261,-15.84957266,-16.55494928,-22.58915663,-21.74561596,-29.3287406,-26.93628263,-36.06832457,-32.12694931,-42.80790854,-37.31761599,-49.5474925,-42.50828266,-56.28707647,-0.685508728,-0.34852953,TRUE,363,459,100,97,79,55,70,42,64,35,62,34,61,36,61,36,60,37,57,37,135,140,-97.7,-86.8,71,56
1,1,0,1456,IsA,demand,marginal utility,1,0,0.5,[CLS] the demand is the marginal utility . [SEP],[CLS] demand is a marginal utility . [SEP],11,0.042611643,-56.69029348,6.889745712,5.166807652,0.157538891,-1.744600296,-6.574667931,-8.656008244,-13.30687475,-15.56741619,-20.03908157,-22.47882414,-26.77128839,-29.39023209,-33.50349522,-36.30164003,-40.23570204,-43.21304798,-46.96790886,-50.12445593,-53.70011568,-57.03586388,-0.016748309,0.328822088,TRUE,56,288,68,74,87,41,104,34,115,34,122,37,134,37,138,38,146,40,151,39,89,97,-112.1,-66.2,83,34.5
1,0,0,843,UsedFor,version,bonus track,3,0,1.5,[CLS] version is used for the bonus track . [SEP],[CLS] version used for bonus track . [SEP],23,0.006132103,-55.93527269,3.189772606,3.354243755,-4.076406956,-3.270283222,-11.34258652,-9.8948102,-18.60876608,-16.51933718,-25.87494564,-23.14386415,-33.1411252,-29.76839113,-40.40730476,-36.39291811,-47.67348433,-43.01744509,-54.93966389,-49.64197206,-62.20584345,-56.26649904,-1.614151478,-1.282925129,TRUE,605,736,331,150,297,76,284,51,280,42,275,39,275,38,272,37,273,38,274,36,190,200,-316.6,-124.3,268,87
1,0,0,1374,IsA,bombing,war crime,3,1,2,[CLS] the bombing is a war crime . [SEP],[CLS] bombing is a war crime . [SEP],7,0.195800376,-57.78163252,7.450436354,5.36099577,2.242695332,-1.694046497,-2.965045691,-8.749088764,-8.172786713,-15.80413103,-13.38052773,-22.8591733,-18.58826876,-29.91421556,-23.79600978,-36.96925783,-29.0037508,-44.0243001,-34.21149182,-51.07934237,-39.41923285,-58.13438463,0.069714069,0.422466183,TRUE,37,263,20,72,27,46,33,41,34,37,35,40,38,39,41,43,43,43,46,45,86,88,-35.4,-66.9,19,37
1,0,1,1287,IsA,company,joint venture,3,4,3.5,[CLS] the company is a joint venture . [SEP],[CLS] company is a joint venture . [SEP],56,0.457569508,-57.24002044,5.877213717,3.925629139,2.215069771,-2.908521652,-1.447074175,-9.742672443,-5.109218121,-16.57682323,-8.771362066,-23.41097403,-12.43350601,-30.24512482,-16.09564996,-37.07927561,-19.7577939,-43.9134264,-23.41993785,-50.74757719,-27.08208179,-57.58172798,-1.199983954,-0.858276415,TRUE,125,572,21,125,18,69,17,52,18,45,20,41,20,40,19,42,19,42,19,42,166,172,-29.6,-107,17,71
1,0,1,1520,HasA,the family,problem,3,4,3.5,[CLS] the family has a problem . [SEP],[CLS] the family has a problem . [SEP],7,0.665407385,-55.26137943,-0.232676029,-0.232676029,-6.38113451,-6.38113451,-12.52959299,-12.52959299,-18.67805147,-18.67805147,-24.82650995,-24.82650995,-30.97496843,-30.97496843,-37.12342691,-37.12342691,-43.2718854,-43.2718854,-49.42034388,-49.42034388,-55.56880236,-55.56880236,-4.84401989,-4.536596966,TRUE,2180,2403,648,442,378,170,287,95,240,59,219,48,203,41,192,39,186,34,181,32,637,689,-471.4,-336.3,426,270
0,,,2701,Causes,disease,mental illness,3,3,3,[CLS] the disease causes mental illness . [SEP],[CLS] disease causes mental illness . [SEP],7,0.72448157,-55.3502068,0.231127739,-0.369642973,-4.584001064,-6.512722731,-9.399129868,-12.65580249,-14.21425867,-18.79888225,-19.02938747,-24.941962,-23.84451628,-31.08504176,-28.65964508,-37.22812152,-33.47477388,-43.37120128,-38.28990269,-49.51428103,-43.10503149,-55.65736079,-4.976952791,-4.669798803,TRUE,1917,2459,385,468,188,181,123,98,97,61,84,49,77,42,69,40,67,36,65,33,669,720,-307.2,-346.7,253,283
0,,,361,AtLocation,theorem,of a,0,0,0,[CLS] the place you are likely to find a theorem at of a . [SEP],[CLS] theorem at location of a . [SEP],8,0.231791724,-56.73507278,-0.415619612,2.443240404,-10.52555299,-4.168861628,-20.63548636,-10.78096366,-30.74541974,-17.39306569,-40.85535312,-24.00516772,-50.96528649,-30.61726975,-61.07521987,-37.22937179,-71.18515325,-43.84147382,-81.29508662,-50.45357585,-91.40502,-57.06567788,-2.51583612,-2.185231018,TRUE,2260,1147,1574,206,1378,98,1289,65,1246,52,1220,45,1198,43,1180,41,1171,41,1164,40,270,292,-1368,-177.8,1347,129.5
1,1,0,58,HasSubevent,airport,air base,0,1,0.5,[CLS] one of the things you do when you airport is air base . [SEP],[CLS] airport has sub ##eve ##nt air base . [SEP],11,0.035321536,-61.17361323,3.476408958,10.50925469,-7.632345676,2.499995708,-18.74110031,-5.509263277,-29.84985495,-13.51852226,-40.95860958,-21.52778125,-52.06736422,-29.53704023,-63.17611885,-37.54629922,-74.28487349,-45.5555582,-85.39362812,-53.56481719,-96.50238276,-61.57407618,4.502310455,4.902773404,TRUE,525,10,894,5,1094,11,1196,17,1263,28,1293,38,1322,44,1335,50,1349,52,1364,58,5,5,-1163.5,-31.3,1129,12
