,rel,head,tail,misc,misc2,score,sent
2482,HasProperty,natural selection,evolutionary,29,0.277860170569,5.022773861885069,[CLS] natural selection is an evolutionary . [SEP]
2107,CapableOf,renewable energy,energy efficiency,18,0.7435094519159999,5.015352547168729,[CLS] renewable energy can be energy efficiency . [SEP]
972,ReceivesAction,category theory,branch of mathematics,12,0.374982227878,5.004786610603331,[CLS] the category theory can be a branch of mathematics . [SEP]
1287,IsA,company,joint venture,56,0.457569507792,4.961677730083465,[CLS] the company is a joint venture . [SEP]
582,AtLocation,decay chain,uranium,10,0.00169151258127,4.952380776405333,[CLS] you are likely to find the decay chain in the uranium . [SEP]
2216,CapableOf,pseudonym,real name,7,0.107236351352,4.914719939231871,[CLS] a pseudonym can be a real name . [SEP]
1051,ReceivesAction,corruption,abuse of power,14,0.167790024071,4.908839344978332,[CLS] corruption can receive an abuse of power . [SEP]
1336,IsA,legitimate son,heir,19,0.287809315138,4.886521577835079,[CLS] the legitimate son is the heir . [SEP]
2154,CapableOf,game,single player,20,0.258524294005,4.885828733444213,[CLS] the game can be single player . [SEP]
1780,HasA,social capital,concept,8,0.0024824333775700005,4.8841481804847655,[CLS] social capital contains the concept . [SEP]
1559,HasA,hospital,acute care,13,0.350180819316,4.870969891548154,[CLS] the hospital has an acute care . [SEP]
1335,IsA,commanding officer,admiral,14,0.28899305981400003,4.856895446777342,[CLS] commanding officer is an admiral . [SEP]
1953,HasPrerequisite,gene transfer,organism,13,0.004681749822479999,4.846261620521544,[CLS] gene transfer requires an organism . [SEP]
2233,CapableOf,anemia,chronic disease,9,0.08957514125350001,4.803347587585447,[CLS] an ##emia can be a chronic disease . [SEP]
1036,ReceivesAction,approximation,degree of accuracy,7,0.208194762431,4.759289503097532,[CLS] the approximation can receive a degree of accuracy . [SEP]
301,AtLocation,white hole,black hole,9,0.980471093986,4.731169283390043,[CLS] you are likely to find a white hole in the black hole . [SEP]
820,UsedFor,overhead cam,engine,8,0.00955268367309,4.7228713035583505,[CLS] the overhead cam is for the engine . [SEP]
2260,CapableOf,association football,field hockey,7,0.0616246028786,4.719481408596036,[CLS] association football can be field hockey . [SEP]
1959,HasPrerequisite,basketball court,playground equipment,9,0.00401884188565,4.699298381805417,[CLS] the basketball court requires playground equipment . [SEP]
1814,HasPrerequisite,family man,wife,11,0.295395719724,4.655462861061095,[CLS] a family man requires a wife . [SEP]
1243,IsA,island,reserve for marine life,9,0.6627792255039999,4.652775168418884,[CLS] the island is a reserve for marine life . [SEP]
2859,Causes,episode,season finale,12,0.00327671199662,4.63667047023773,[CLS] the effect of the episode is the season finale . [SEP]
1979,HasPrerequisite,electron affinity,atom,11,0.00210101618223,4.634992361068727,[CLS] the electron affinity requires an atom . [SEP]
1997,HasPrerequisite,wedding ceremony,groom,12,0.00125305580858,4.607951939105986,[CLS] the wedding ceremony requires the groom . [SEP]
1491,IsA,garden,public park,7,0.00447518996283,4.606068015098571,[CLS] the garden is a public park . [SEP]
2384,CapableOf,muscle,motor neuron,18,0.00175749636868,4.591884732246397,[CLS] a muscle can be a motor ne ##uron . [SEP]
264,HasSubevent,producer,studio executive,7,9.41758047947e-05,4.558219373226164,[CLS] one of the things you do when you the producer is a studio executive . [SEP]
322,AtLocation,bass clarinet,trombone,7,0.5223635355749999,4.45567178726196,[CLS] you are likely to find the bass clarinet in the trombone . [SEP]
1608,HasA,host city,bid,7,0.167517309243,4.3904643058776855,[CLS] the host city has bid . [SEP]
826,UsedFor,proof,algebraic geometry,7,0.00855709659536,4.381778359413145,[CLS] the proof can be used for algebraic geometry . [SEP]
628,UsedFor,gasoline,fuel economy,9,0.34942414806100003,4.378166198730465,[CLS] gasoline can be used for fuel economy . [SEP]
2007,HasPrerequisite,child custody,divorce,7,0.000883262710983,4.3311915397644025,[CLS] child custody requires a divorce . [SEP]
1229,IsA,positive feedback,output,13,0.7662209744390001,4.323594212532042,[CLS] the positive feedback is the output . [SEP]
375,AtLocation,homomorphism,orthogonal group,7,0.179973555803,4.3183155059814435,[CLS] you are likely to find homo ##morphism in the orthogonal group . [SEP]
648,UsedFor,angle,incident ray,8,0.198865960728,4.2772850394248945,[CLS] the angle is for the incident ray . [SEP]
1042,ReceivesAction,parliament,head of state,14,0.19054164778,4.276959776878355,[CLS] parliament can receive the head of state . [SEP]
380,AtLocation,electromagnetic radiation,electromagnetic spectrum,8,0.170423674947,4.2725179195404035,[CLS] you are likely to find electromagnetic radiation in the electromagnetic spectrum . [SEP]
1925,HasPrerequisite,music video,soundtrack,15,0.00978136464063,4.260194242000579,[CLS] a music video requires a soundtrack . [SEP]
1754,HasA,point,angular momentum,7,0.0109313862495,4.179089903831483,[CLS] point has an angular momentum . [SEP]
665,UsedFor,album,re-recorded version,7,0.145261130919,4.172198355197905,[CLS] the album is used for a re - recorded version . [SEP]
1802,HasPrerequisite,interest income,tax,7,0.776597892218,4.15416896343231,[CLS] interest income requires a tax . [SEP]
2682,HasProperty,hip hop,rhythm,11,0.00133832824704,4.123300492763516,[CLS] hip hop is a rhythm . [SEP]
